id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,Post Malone,0.573,0.543,8,-5.357,0,0.0398,0.0777,0,0.199,0.308,143.916,223347,4
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,163870,4
2Yl4OmDby9iitgNWZPwxkd,Be Careful,Cardi B,0.82,0.568,6,-8.23,0,0.411,0.0256,0,0.0952,0.535,152.279,210787,4
2UciqgwVDwro0fev3MFbxJ,ATM,J. Cole,0.719,0.497,8,-7.661,1,0.681,0.115,0,0.0898,0.345,81.651,216727,4
43cFjTTCD9Cni4aSL0sORz,Playinwitme (feat. Kehlani),KYLE,0.687,0.587,1,-5.772,0,0.124,0.302,0,0.278,0.676,156.575,193094,4
7uzmGiiJyRfuViKKK3lVmR,Mine,Bazzi,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,131064,4
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,202621,4
51rXHuKN8Loc4sUlKPODgH,King's Dead (with Kendrick Lamar Future & James Blake),Jay Rock,0.563,0.717,1,-5.186,1,0.337,0.000874,0,0.183,0.427,82.064,229670,4
2UVbBKQOdFAekPTRsnkzcf,Stir Fry,Migos,0.815,0.816,2,-5.474,1,0.269,0.00299,0,0.159,0.498,181.967,190288,4
3Wf2YGdYT8xVdNsQSoRKk9,Youth (feat. Khalid),Shawn Mendes,0.625,0.589,6,-6.627,0,0.0858,0.518,0,0.197,0.33,100.003,189973,4
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,4
1oUudyBYVGMIC8JXeIsFzq,CLOSE (feat. Travis Scott) - From SR3MM,Rae Sremmurd,0.691,0.736,0,-4.993,1,0.0321,0.104,0,0.111,0.0395,140.034,193510,4
1AT4xjNarTswd0UZ5FlmKF,Motiv8,J. Cole,0.869,0.385,4,-7.801,1,0.297,0.135,0,0.0931,0.596,149.897,133922,4
